login,experience_level,experience_score,span_months,active_months,total_prs_created,total_prs_reviewed,total_issues_created,total_volume,roles,diversity_score,span_normalized,regularity,volume_normalized
kuomars110,Intermediate,0.501472320376914,0.0,1,2,0,0,2,coder,0.3333333333333333,0,1.0,0.007361601884570087
eps1lon,Advanced,0.8480352561778993,11.826544021024967,13,178,92,0,270,"coder,reviewer",0.6666666666666666,0.4963600264725348,1.0,0.9938162544169618
sebmarkbage,Advanced,0.8496869335969682,11.925098554533507,13,457,79,0,536,"coder,reviewer",0.6666666666666666,0.498434667984841,1.0,1.0
josephsavona,Advanced,0.7860572442260887,11.399474375821287,12,189,19,0,208,"coder,reviewer",0.6666666666666666,0.4871679676531701,0.9677829588808818,0.765606595995289
nathanmarks,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
hoxyq,Advanced,0.681988803713403,11.727989487516425,11,59,69,0,128,"coder,reviewer",0.6666666666666666,0.4942681508556238,0.8642370431550692,0.47114252061248557
pythonsst,Intermediate,0.3744131878855647,0.42706964520367935,1,3,0,0,3,coder,0.3333333333333333,0.034366078037432586,0.7007366482504604,0.011042402826855131
rickhanlonii,Advanced,0.8038116855406118,11.333771353482259,11,93,116,2,211,"coder,reviewer,reporter",1.0,0.4857239398547052,0.891860217344982,0.7766489988221442
henryqdineen,Initial,0.29373080894311415,11.76084099868594,4,5,0,0,5,coder,0.3333333333333333,0.49496737086605463,0.3134589640613737,0.01840400471142522
sebastien-byte,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
mofeiZ,Intermediate,0.6429945559657816,10.052562417871222,9,90,26,0,116,"coder,reviewer",0.6666666666666666,0.45584554880228817,0.8142908096540245,0.42697290930506504
poteto,Advanced,0.847863773627111,11.498028909329829,13,259,35,0,294,"coder,reviewer",0.6666666666666666,0.4893188681355553,1.0,1.0
unstubbable,Intermediate,0.6002940618086693,11.695137976346912,10,36,28,0,64,"coder,reviewer",0.6666666666666666,0.49356699201419696,0.7877031363212919,0.23557126030624279
jzhan-canva,Intermediate,0.5514723203769141,0,1,1,0,1,2,"coder,reporter",0.6666666666666666,0,1.0,0.007361601884570087
gnoff,Intermediate,0.6323492854993218,11.005256241787121,10,32,52,0,84,"coder,reviewer",0.6666666666666666,0.47838007654081216,0.832968476357268,0.30918727915194366
EugeneChoi4,Intermediate,0.538378702465674,1.609724047306176,3,20,0,0,20,coder,0.3333333333333333,0.11827749348266872,1.0,0.07361601884570088
Biki-das,Initial,0.3174199970627854,9.099868593955321,4,4,0,0,4,coder,0.3333333333333333,0.4312760789686741,0.39604475670049444,0.014723203769140174
Jidayyyyyy,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
pet210702,Intermediate,0.501472320376914,0.0,1,2,0,0,2,coder,0.3333333333333333,0,1.0,0.007361601884570087
acdlite,Intermediate,0.43720933611538837,9.85545335085414,5,11,43,0,54,"coder,reviewer",0.6666666666666666,0.4509379509379509,0.46059799055804385,0.19876325088339233
jf-eirinha,Intermediate,0.5514723203769141,0,1,1,0,1,2,"coder,reporter",0.6666666666666666,0,1.0,0.007361601884570087
ujjwaljha1,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
Keerthana-Juluri,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
Krishnalathayadav,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
somarathigaganasaisree,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
Sudeepthi-235,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
AutiSahasra,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
SAO10473,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
Siddharthaa19,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
sairamareddy2,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
SahithiUppala,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
Saanvi577,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
Saaaath26,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
bhanusrikari,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
samhita1100,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
josepharhar,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
arthur-mountain,Initial,0.25837375664455875,11.432325886990801,3,3,0,0,3,coder,0.3333333333333333,0.48788694481830414,0.24130641581228202,0.011042402826855131
davbrito,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
sophiebits,Intermediate,0.35171678121553673,11.070959264126149,4,5,4,0,9,"coder,reviewer",0.6666666666666666,0.4798655806800706,0.3313738297409101,0.03312720848056539
Anatole-Godard,Intermediate,0.5522084805653711,0,1,1,0,2,3,"coder,reporter",0.6666666666666666,0,1.0,0.011042402826855131
eai04191,Intermediate,0.5522084805653711,0,1,1,0,2,3,"coder,reporter",0.6666666666666666,0,1.0,0.011042402826855131
KhalHuntsman,Intermediate,0.501472320376914,0.0,1,2,0,0,2,coder,0.3333333333333333,0,1.0,0.007361601884570087
mdj-uk,Intermediate,0.5514723203769141,0,1,1,0,1,2,"coder,reporter",0.6666666666666666,0,1.0,0.007361601884570087
k-yle,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
nossbigg,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
Heyykrishnna,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
yashhhYB,Intermediate,0.5109998312160844,0.36136662286465177,2,7,0,0,7,coder,0.3333333333333333,0.02923354948442649,1.0,0.025765606595995305
SaisakthiM,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
dfvgbh,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
SeaOtocinclus,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
rubennorte,Intermediate,0.45086381335703024,5.5847568988173455,4,7,12,0,19,"coder,reviewer",0.6666666666666666,0.31759079360334774,0.6074635801237278,0.06993521790341582
jackpope,Advanced,0.7097708007161443,11.202365308804204,12,51,45,0,96,"coder,reviewer",0.6666666666666666,0.4828113496063884,0.9834158948955417,0.3533568904593642
kolvian,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
uellenberg,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
li-jia-nan,Initial,0.22465390076983482,9.822601839684625,2,2,0,0,2,coder,0.3333333333333333,0.4501113988077317,0.1847984458474988,0.007361601884570087
ramansingh19,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
DhruvinSathvara07,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
jbrown215,Intermediate,0.6012925681748337,11.038107752956636,10,36,7,0,43,"coder,reviewer",0.6666666666666666,0.47912388774811776,0.8306953389367973,0.15827444051825687
dhruvin0567,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
BhagiDevaliya,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
cipolleschi,Intermediate,0.5514723203769141,0,1,1,1,0,2,"coder,reviewer",0.6666666666666666,0,1.0,0.007361601884570087
enoshbrainard,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
Caden-Hornyak,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
ianduvall,Intermediate,0.5514723203769141,0,1,1,0,1,2,"coder,reporter",0.6666666666666666,0,1.0,0.007361601884570087
chirokas,Intermediate,0.500736160188457,0,1,1,0,0,1,coder,0.3333333333333333,0,1.0,0.0036808009422850435
